"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
1450, 4.259922644366581e-01, 1.990426586629453e-01, 7.689043787980533e-02, 2.071880709234031e-06, -4.588230373791906e-04, 8.983305694231919e-04, -2.465822889078959e+06, -9.900579263828840e+06, -4.474588255654722e+05, -6.539443774115050e+05, -3.404820604611920e+04, 4.012466261184430e+05, 8.550819493795123e+06
1451, 3.807547865245198e-01, 2.229699209718494e-01, 7.860820194338322e-02, -2.958388117173943e-05, -5.338118327132017e-04, 1.098918667083802e-03, -2.291341503852908e+06, -9.363003825711980e+06, -2.696973318927183e+05, -1.048208439681850e+06, -4.190946394004307e+05, 2.426651443083608e+05, 7.827298070227780e+06
1452, 4.240784439492655e-01, 2.504314269645578e-01, 7.698117422123528e-02, -1.571167156527720e-05, -5.788657416549419e-04, 1.351424880726149e-03, -1.906970580907374e+06, -8.937589446769696e+06, -1.339978114295238e+05, -4.709979578030547e+05, -1.576365973555643e+05, 1.306541381284015e+05, 7.859199760057940e+06
1453, 4.236263653849145e-01, 3.004531051902198e-01, 7.700240147935260e-02, -1.247451150033010e-05, -6.806000489553692e-04, 1.867819084479227e-03, -2.129722541351578e+06, -7.548329212042650e+06, -2.191434822429690e+05, -1.311550953999527e+06, -9.418155972776940e+04, 1.284760741911651e+05, 5.889333868947268e+06
1454, 3.808864950832056e-01, 3.246378487570958e-01, 7.860473106616346e-02, -1.521918983488080e-05, -7.154502237507396e-04, 2.142475114529863e-03, -1.820348075774828e+06, -7.912934808191046e+06, -4.194842706209362e+05, -1.107029236297956e+06, 2.199794815275821e+05, 3.939327006286983e+05, 6.566050315889645e+06
1455, 3.797050785343444e-01, 3.753486101822434e-01, 7.863551419938614e-02, -4.414787618998994e-05, -8.078793672111201e-04, 2.769540413130371e-03, -1.531052480340652e+06, -7.545198978254824e+06, -6.494075458304484e+05, -8.936545116460775e+05, -2.326431879075840e+05, 4.854580977943983e+05, 6.522592028066588e+06
1456, 4.219294360472578e-01, 4.023987712843894e-01, 7.708136964703623e-02, -3.214974823902150e-05, -8.555775461236322e-04, 3.147116945602324e-03, -9.311275506378058e+05, -6.313686624843862e+06, -1.890699629485458e+05, -6.473673221418849e+05, 8.659761492957146e+04, 1.981613103748358e+05, 5.552239346027375e+06
1457, 3.839473506505735e-01, 1.327588528299872e+00, 7.852122602664617e-02, -1.208269051297117e-04, -1.881819075458653e-03, 2.316900852389817e-02, -4.176795022099319e+04, -1.145818789203942e+06, -7.896266565287537e+04, -1.023726222924461e+05, -2.154121457305136e+04, -7.542624567400289e+03, 1.084416246338108e+06
1458, 5.879675725090707e-01, 3.886928431500586e-01, 6.458498825885560e-02, 2.050221716267536e-05, -6.751096972088672e-04, 2.962457162404614e-03, -1.472769414749707e+06, -5.522882108362006e+06, -1.555526345857283e+05, -4.938844043488967e+05, 1.978602895788586e+05, 4.866776506004151e+05, 4.714533344509952e+06
1459, 7.427684145512050e-01, 1.176085210494283e+00, 4.559288982249566e-02, -3.228414530447032e-05, -9.705598680817355e-04, 1.974298133496954e-02, -2.968996682352803e+04, -3.890962806811757e+05, -1.284393028827720e+05, -7.069251078005100e+04, -7.753785911194844e+03, 1.214261220922862e+05, 4.582802313120958e+05
1460, 7.307950770247594e-01, 6.646470522530860e-01, 4.728763704692632e-02, 1.616855921066085e-05, -6.996646011747654e-04, 7.642610402658651e-03, -2.567950163603098e+05, -1.282483757768796e+06, -2.664764471954798e+05, -2.812193996902221e+05, 1.647578617771390e+05, 2.442797797220212e+05, 1.225179379470963e+06
1461, 7.374882274944055e-01, 1.287913123987340e+00, 4.634482417177509e-02, -4.357548567664182e-05, -1.049654206333087e-03, 2.267496391185425e-02, -6.642857477315530e+04, -2.253210914448382e+05, -9.958840486423568e+04, -5.838975894404056e+04, -4.098632045672830e+04, 8.654161203580242e+04, 2.895691635474387e+05
1462, 7.780879333074825e-01, 1.281121218608314e+00, 4.037803130888779e-02, -3.374952611068238e-05, -8.881418482913073e-04, 2.254582912172683e-02, -1.028433931172993e+05, -2.510186955537780e+05, -1.374251633737989e+05, -1.434818867745212e+05, -2.129836641173179e+04, 1.851376518598085e+05, 4.224115582693142e+05
1463, 8.122259673945402e-01, 1.387378432093377e+00, 3.503193651350384e-02, -3.362416976789712e-05, -7.961502128508435e-04, 2.544554196004783e-02, 1.781823879162085e+04, -3.108483171870299e+03, -8.068210994013109e+04, -6.897984464031206e+02, -4.881374523288586e+03, 9.677104055171291e+04, 2.192882976778266e+05
1464, 7.584122381965201e-01, 1.432916763350311e+00, 4.332266829061842e-02, -4.841742197418588e-05, -1.032355184128503e-03, 2.659434595464933e-02, -8.584409593747313e+04, -1.642285796266500e+05, -1.202465707878363e+05, -1.448581527887106e+05, 3.643987245802713e+04, 9.317227754291668e+04, 2.800098676710324e+05
1465, 8.852621360507565e-01, 1.971563769703823e+00, 2.256897866771768e-02, -3.461415679158197e-05, -6.801532737104269e-04, 4.156012178610141e-02, -1.551910694439774e+03, 1.538720492427900e+04, -1.197748010649849e+04, -1.946346839080527e+02, 1.000822978022673e+04, -2.689817297628368e+03, 3.191181930310763e+04
1466, 7.573617046335104e-01, 4.487064407705768e-01, 4.347712389513754e-02, 3.192858426445677e-05, -4.486200997871996e-04, 3.739196797077904e-03, -3.983046554630898e+05, 3.824358068956505e+04, -1.599085528605947e+05, -4.436593027105054e+05, 2.313279135608505e+05, 4.769536671038467e+05, 1.064018489536106e+06
1467, 7.436620482025776e-01, 1.472118615715299e+00, 4.546490193293438e-02, -5.565591291882555e-05, -1.106639845061930e-03, 2.763194172198041e-02, -1.172216945244673e+04, -1.368249447960385e+05, -8.064744665006499e+04, -5.397425377226279e+04, 8.629538670538343e+03, 7.669920914438252e+04, 2.225619797544562e+05
1468, 7.406366427522855e-01, 1.580487594839771e+00, 4.589736113376978e-02, -6.387755601149070e-05, -1.161785819943324e-03, 3.057232733338834e-02, -2.057470801973694e+04, -4.527353166101839e+04, -7.475439992884680e+04, -1.879643932983987e+04, -2.684309252010570e+03, 5.470235999343343e+04, 1.625436474143359e+05
1469, 7.806342967023790e-01, 1.572902370855970e+00, 3.998970166707039e-02, -5.266850885603247e-05, -1.002083321418716e-03, 3.043815042960608e-02, -2.860463940600192e+04, -7.497080366266785e+04, -1.345105505481004e+05, -2.857415876496980e+03, 7.427953417592148e+03, 7.249880842392542e+04, 2.724326714502588e+05
1470, 6.236564140031439e-01, 1.652627928010801e-01, 6.078197642232946e-02, 2.663704145238963e-05, -3.045836383372691e-04, 5.950674321938713e-04, -2.883548468279875e+06, -7.801952540343297e+06, 1.645875899191620e+05, -7.018901096452412e+05, 2.750952482746152e+05, -3.197857068834429e+05, 6.347889198069468e+06
1471, 7.327855511028583e-01, 1.399713645389119e+00, 4.700843312216094e-02, -5.274664388423000e-05, -1.116228167470638e-03, 2.565864724950549e-02, -4.177854004502002e+04, -7.404300013548038e+04, -8.283663368352117e+04, -4.081434603402954e+04, 3.819750081812859e+04, 7.576850739458197e+04, 2.079867910202994e+05
1472, 3.758967820569578e-01, 1.774709543159047e+00, 7.872935465097043e-02, -1.454131240421447e-04, -2.107252984390309e-03, 3.512558152502607e-02, 8.797263988625261e+04, -1.677218302422971e+05, -6.711195978748360e+04, 1.637079750119051e+04, 1.156342570215712e+03, 2.933529865240639e+04, 2.613350852897977e+05
1473, 9.451493522789397e-01, 4.447079700693828e-01, 1.126627498817186e-02, -1.223384094796443e-05, 3.373484470035881e-05, 3.458310913091456e-03, -2.081278131386032e+05, 9.117865441307914e+05, 6.030711618191787e+04, 2.759985924021107e+04, 5.139124040461599e+04, 1.252836611028287e+05, 1.054373230509967e+06
1474, 7.646873990788067e-01, 1.996595019377537e-01, 4.239428039040036e-02, 2.096733050979682e-05, -2.142219180176833e-04, 7.807059025748304e-04, -5.801398289873188e+05, -1.508999013936142e+06, -2.883161217901018e+05, -9.108105652478435e+05, 1.560205752691602e+05, -1.615315383740760e+05, 1.032307658770481e+06
1475, 9.452765607111870e-01, 1.778798177053162e+00, 1.124118897553756e-02, -7.147007202876199e-06, -3.024410425391255e-04, 3.640308198641784e-02, -1.799610080834836e+04, 4.282808435488254e+04, -2.271239845145587e+04, 4.234131578129811e+03, -5.037332381357975e+03, 1.491364676301645e+04, 7.164190689785575e+04
1476, 3.770719356717210e-01, 1.675211256701413e+00, 7.870127779769005e-02, -1.399822218034127e-04, -2.064487857666109e-03, 3.243531442176203e-02, 2.602703513715204e+04, -2.659044779664034e+05, -6.552483154512997e+04, -7.116601425286844e+02, 1.913227482815249e+04, 4.326631205327810e+04, 3.126142385436188e+05
1477, 4.166980734646584e-01, 1.649910801309704e+00, 7.731761588991426e-02, -1.354431160674463e-04, -2.019110844173676e-03, 3.183162485016744e-02, 4.970984743902252e+04, -3.044371713796067e+05, -8.321030971669825e+04, -2.515881145506135e+04, -1.184210939908118e+04, 5.176743594619108e+04, 3.657090244173194e+05
1478, 3.810858166740894e-01, 8.264852118597524e-01, 7.859945977894146e-02, -8.233202772352580e-05, -1.461103351098725e-03, 1.089298743486316e-02, -2.606629896294761e+05, -3.982909539505848e+06, -2.218949607091102e+05, -2.275587702853815e+05, -4.706149436446195e+04, 1.057023729585068e+05, 3.763949093985167e+06
1479, 3.794966902127008e-01, 4.724484500400419e-01, 7.864086208419099e-02, -4.440822066316148e-05, -9.997377848880440e-04, 4.161597856480875e-03, -8.826117085446585e+05, -6.567211544158214e+06, -9.155513059468474e+04, -9.037890051355015e+05, 1.766015267677846e+05, 2.201826543923665e+04, 5.684620044282040e+06
1480, 3.853157558688265e-01, 5.730337769843451e-01, 7.848209887364103e-02, -4.746352465042426e-05, -1.130450679440781e-03, 5.838979333952971e-03, -1.042437771331573e+06, -5.782657349171427e+06, -3.575713534459366e+05, -6.756096484243018e+05, 1.884617795287026e+05, 3.021330495394717e+05, 5.010695445955194e+06
1481, 3.848993955797438e-01, 1.221646589624319e+00, 7.849411943332453e-02, -1.113017288215737e-04, -1.807917838628867e-03, 2.042499016288285e-02, 7.979685248513699e+03, -1.243791409787524e+06, -1.146178262133840e+05, 7.152102474029351e+04, 4.361718075316463e+04, 1.177234013823883e+05, 1.318030007107249e+06
1482, 3.780921247222059e-01, 1.123839968526679e+00, 7.867626548530507e-02, -1.042944152670269e-04, -1.742078387364260e-03, 1.793101159018198e-02, -2.846683993847595e+05, -1.976084037912092e+06, -9.445813184476842e+04, -2.579433536873525e+05, 5.107552131519940e+04, 1.469731078072695e+05, 1.733839864710278e+06
1483, 4.203030700519060e-01, 1.097467613898362e+00, 7.715599026199019e-02, -9.523179945234578e-05, -1.688936432688370e-03, 1.734006894624074e-02, -6.835239387395640e+04, -2.033929725136593e+06, -2.704274061226206e+05, -2.136626478960483e+05, 7.712264006611236e+04, 1.653046500115762e+05, 1.979445454291921e+06
1484, 4.203336329397510e-01, 1.049571959699577e+00, 7.715459766231438e-02, -8.932828334633908e-05, -1.649474263290821e-03, 1.615742885467468e-02, -4.784624119747439e+04, -2.209952648298021e+06, -2.336487053751018e+05, -1.007044119438555e+05, 1.111315431494079e+05, 4.165010628137457e+04, 2.183859683789222e+06
1485, 3.787922715998700e-01, 1.025083744154117e+00, 7.865875749685709e-02, -9.503834290117488e-05, -1.660242971865682e-03, 1.549488444348886e-02, -1.895658310533881e+05, -2.292481406850776e+06, -1.049537843152697e+05, -2.935651830438375e+05, 1.871025167887416e+04, 5.247104024753917e+04, 2.063182897429617e+06
1486, 4.187972439595880e-01, 1.002357275007498e+00, 7.722414042056365e-02, -8.945405713752224e-05, -1.607692182310917e-03, 1.501103228280276e-02, -1.551933676924450e+05, -2.931985567514728e+06, -5.716746387219529e+03, -3.020803547387450e+05, 7.344459037442555e+04, 1.063302908626853e+05, 2.715598428978454e+06
1487, 4.261918067952854e-01, 9.499721612674282e-01, 7.688089656836916e-02, -7.617155885669691e-05, -1.552695628086270e-03, 1.377098136086608e-02, -1.503894721209104e+05, -2.499812972383110e+06, -1.829510926058101e+05, -1.417640094140591e+05, 1.366469718221685e+05, 1.256795353607300e+05, 2.396653202985834e+06
1488, 3.792050633353301e-01, 9.254483913366851e-01, 7.864830483525370e-02, -8.697895617532092e-05, -1.569811774245391e-03, 1.313312186705484e-02, -1.978581911045470e+05, -3.128658357235801e+06, -1.123947097638843e+05, -3.385031652160513e+05, 1.261168127561567e+05, -1.717054757147138e+04, 2.878136003715954e+06
1489, 4.197385555779605e-01, 9.013688832792048e-01, 7.718164534295548e-02, -7.669773493999138e-05, -1.514412199522465e-03, 1.262872283886602e-02, -3.503543155656337e+05, -2.786426723874496e+06, 1.342051089019804e+04, -4.821574820593389e+05, 3.574046804889729e+03, 9.187787013846643e+04, 2.378369625779675e+06
1490, 8.508014216061937e-01, 1.377436874069074e+00, 2.862579364555191e-02, -2.394671735401598e-05, -6.239681473685088e-04, 2.523206278023851e-02, 5.319053678779646e+03, 8.871091307678624e+04, -1.154933902846279e+05, 2.852252876281599e+04, -8.421404507009476e+03, 1.143248510621762e+05, 2.915425646610968e+05
1491, 9.451232227466064e-01, 6.810408560186212e-01, 1.127142714399712e-02, -6.471434763018202e-06, 1.338519052210274e-05, 7.843228758659615e-03, -1.000591271700119e+05, 9.600120407085271e+05, -7.247366471065643e+04, -2.615015590295444e+04, 1.473610838504052e+03, 5.879809248082490e+04, 1.037786155895323e+06
1492, 6.627021917260998e-01, 1.965231765479845e+00, 5.621737029437775e-02, -1.042513757234069e-04, -1.583775502777815e-03, 4.090709308409041e-02, 3.455161027411537e+04, 2.378879601937877e+04, -5.518495055371548e+04, 2.008530100715091e+04, 4.784675055942726e+03, 4.038252799971116e+03, 9.707292197594489e+04
1493, 6.429774510063506e-01, 1.929494446251489e+00, 5.857504100146751e-02, -1.080672041280095e-04, -1.633784664839710e-03, 3.989137572701881e-02, 3.139044639278702e+04, 1.750844869953654e+04, -5.190623133593798e+04, 1.222240476415416e+04, -2.428234854774631e+03, 1.163074056228312e+04, 9.380999347761716e+04
1494, 6.013504252980653e-01, 1.927850600891865e+00, 6.320103617529316e-02, -1.177760375088146e-04, -1.756540856764965e-03, 3.975809482921533e-02, 3.344495740494625e+04, 1.361020212931359e+04, -6.695285362421897e+04, 1.465109151141246e+04, -4.492475149991318e+03, 1.394824952527839e+04, 1.202751720017207e+05
1495, 6.634437569510577e-01, 4.175172224949680e-02, 5.612670766050728e-02, 1.035859155503784e-05, -6.207419333690309e-05, 5.006324783558835e-05, -2.915575041634417e+06, -6.390902755964210e+06, -2.672141364548646e+05, -1.967123595683269e+06, 3.884794727459237e+05, 3.011773758302632e+05, 4.148822120151764e+06
1496, 8.697798398221427e-01, 1.935624346583925e+00, 2.532953053747942e-02, -3.933278850446961e-05, -7.414204122328963e-04, 4.054329456960623e-02, -8.595431236225579e+03, 1.530855924532301e+04, -1.777738150370210e+04, -1.990012593145966e+03, 8.357866817138000e+03, 1.222171689255331e+04, 4.541932667940176e+04
1497, 5.826037058001255e-01, 8.957333804800319e-01, 6.512513984843643e-02, -3.392237090602251e-05, -1.249323415287676e-03, 1.266969788775643e-02, -3.449415040530585e+05, -2.959583270698275e+06, -5.633645959241944e+05, -5.208022351373662e+04, 8.240457251512549e+04, 1.579340560276105e+05, 2.955534922167687e+06
1498, 6.014242805186030e-01, 8.612079368076890e-01, 6.319325784130923e-02, -2.515977444619844e-05, -1.177956272557928e-03, 1.188014253627324e-02, -1.620544065976777e+05, -2.428765316449443e+06, -4.559296671109755e+05, -1.145146484229144e+05, -3.767996229182566e+04, 1.373866482067460e+05, 2.435671870758036e+06
1499, 5.357747786170617e-01, 1.965178647525924e+00, 6.947900801798948e-02, -1.327279047415031e-04, -1.937577056690780e-03, 4.063392871442570e-02, 3.966389116120807e+04, 3.284147611597292e+03, -5.081555445493704e+04, 1.181550776827947e+04, 1.211397871934450e+03, 1.233846779084648e+04, 9.640372758667929e+04
1500, 5.987453717773346e-01, 1.049144297409494e+00, 6.347443165092134e-02, -4.901084021965985e-05, -1.330996541972898e-03, 1.637417353721375e-02, -2.819579334707599e+05, -2.160733982363302e+06, -3.372119161087275e+05, -1.051698500237346e+05, -2.459424766847242e+04, 6.210780402561377e+04, 2.061000020224642e+06
1501, 7.138988338883381e-01, 1.870034431364293e+00, 4.961634369940328e-02, -8.690911881462787e-05, -1.372214179889947e-03, 3.841979905006276e-02, 5.582845831189397e+03, 7.677735668270068e+03, -4.895834719473608e+04, -2.141119551655195e+03, -1.205892275449000e+04, 1.137396469157035e+04, 8.997412080026053e+04
1502, 8.156444830006269e-01, 1.668199318242859e-01, 3.447999644213201e-02, 2.816443183177586e-05, -1.221215364535927e-04, 5.145389078777193e-04, -6.389629906610477e+05, -1.091971484846205e+06, 4.959385738981616e+04, -6.119033957854756e+05, 5.183163704516449e+05, 1.052171753130149e+05, 1.031868856713890e+06
1503, 5.864227075911512e-01, 7.154671858974015e-01, 6.474139126838765e-02, -7.686820295865759e-06, -1.075993926892321e-03, 8.701479740256549e-03, -7.225455745861587e+05, -4.108154035020180e+06, -4.630635771988751e+05, -1.771195589503166e+05, 9.558293496246639e+03, -2.244531838035819e+05, 3.794881885729695e+06
