BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
-5.592538208,-5.582917843,5.120621352,-5.505080337
-5.62269831,-5.612739951,5.120621352,-5.539462331
-5.650209282,-5.640235674,5.120621352,-5.569969254
-5.677980234,-5.667879177,5.120621352,-5.597666878
-5.708731532,-5.698206741,5.120621352,-5.625123081
-5.743920299,-5.73295793,5.120621352,-5.655220181
-5.783431773,-5.772512676,5.120621352,-5.690276723
-5.825426029,-5.81548293,5.120621352,-5.730283133
-5.866691163,-5.858578334,5.120621352,-5.774239306
-5.903802816,-5.897336252,5.120621352,-5.818772117
-5.934170531,-5.928157519,5.120621352,-5.859177201
-5.95702167,-5.950502142,5.120621352,-5.891559288
-5.974204456,-5.967052735,5.120621352,-5.915106924
-5.989545125,-5.981782616,5.120621352,-5.932421908
-6.006444198,-5.99801685,5.120621352,-5.947661265
-6.026801906,-6.017657475,5.120621352,-5.964462387
-6.050833352,-6.041205254,5.120621352,-5.984966648
-6.077659914,-6.068039745,5.120621352,-6.009757347
-6.106048936,-6.096829421,5.120621352,-6.038170039
-6.134976354,-6.126144015,5.120621352,-6.068749935
-6.163949809,-6.155119833,5.120621352,-6.099846171
-6.193120104,-6.183800772,5.120621352,-6.130282203
-6.223160291,-6.212980837,5.120621352,-6.159861082
-6.254908905,-6.243752578,5.120621352,-6.189414442
-6.288965828,-6.277016922,5.120621352,-6.220353124
-6.325331532,-6.313064686,5.120621352,-6.253986945
-6.363348579,-6.351419517,5.120621352,-6.290910615
-6.401902889,-6.390376753,5.120621352,-6.330581583
-6.438553498,-6.427302307,5.120621352,-6.371172633
-6.470195314,-6.459168247,5.120621352,-6.409847162
-6.496250878,-6.48543467,5.120621352,-6.443672659
-6.518595098,-6.506990664,5.120621352,-6.470984719
-6.539049804,-6.525754444,5.120621352,-6.492318692
-6.559028596,-6.543983771,5.120621352,-6.510091382
-6.579440758,-6.563072968,5.120621352,-6.52733948
-6.60272142,-6.585491154,5.120621352,-6.546542055
-6.629589046,-6.61166905,5.120621352,-6.569075558
-6.659265101,-6.640745969,5.120621352,-6.595584823
-6.69047973,-6.671405184,5.120621352,-6.625231547
-6.722200684,-6.70252745,5.120621352,-6.656306085
-6.754052485,-6.733682014,5.120621352,-6.687778553
