"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
4318, 7.146589432006524e-01, 1.188190422201102e+00, -2.349414074567820e-02, -1.599944187618656e-09, 1.766357955779314e-09, -7.874380772873385e-09, 9.062668619209540e+03, 7.934602727734215e+03, -5.478862867995689e+01, 1.547161064284534e+04, 1.769533930068872e+03, -2.873382711460797e+03, 9.151421769604962e+03
4319, 7.329695195157893e-01, 1.195935659177121e+00, -2.330855876311076e-02, -1.428238560589299e-09, 6.615713853400639e-10, -1.424470999920581e-08, 1.075686155988593e+04, 9.114401828472748e+03, -8.892216208151542e+01, 2.063662798682587e+04, 5.001856540482261e+02, -2.113559220102225e+02, 1.083710614637512e+04
4320, 7.171052114822609e-01, 1.207918048850998e+00, -2.315765708895154e-02, -1.244064683809880e-09, 1.540718114815224e-09, -6.220204928730717e-09, 6.918533608825837e+03, 6.964451126044805e+03, -2.898087527256380e+02, 1.170184351165914e+04, 2.990505433374626e+03, 3.747985714010475e+03, 9.585721185595905e+03
4321, 7.354148267063676e-01, 1.215663832632334e+00, -2.303820980073467e-02, -1.091650441134654e-09, 3.410016472237390e-10, -5.041178526536058e-09, 6.890825167165674e+03, 5.461438804352832e+03, 6.748328729085624e+02, 1.079073954470417e+04, -1.399842265293347e+03, 2.923268776941783e+03, 7.463801732537182e+03
4322, 6.010759295260790e-01, 9.718957693388020e-01, -2.668788078764903e-02, -1.355923477885018e-09, 1.621505533355180e-09, -5.404256483022467e-09, 6.935380885186467e+03, 5.474424193871690e+03, 8.122900259106170e+02, 7.484149457459599e+03, -1.402499019981540e+03, 1.656149780808534e+03, 4.398433876802449e+03
4323, 5.546578972266785e-01, 8.774874778235411e-01, -2.804480127972536e-02, -1.697221559343641e-09, 5.141790896555451e-10, -1.591093384854718e-08, 1.288187035122048e+04, 1.257606544758108e+04, 3.733313167030667e+01, 2.424864921446175e+04, 7.487130770703955e+02, 8.059628369477491e+02, 1.167937577385857e+04
4324, 6.950802902829891e-01, 1.030347578561298e+00, -2.543435738767244e-02, -6.881857933260265e-10, 6.113426569723218e-10, -3.387526099338655e-09, 2.475611358223335e+03, 2.215507036737840e+03, 2.279430301844909e+01, 3.050437963908343e+03, 2.426722135468719e+03, 8.033011881023001e+02, 4.489094883647911e+03
4325, 7.463716686287758e-01, 1.164193948064750e+00, -2.337502863161125e-02, -8.500287014697029e-10, 1.084906451277593e-09, -4.441335098353696e-09, 3.126578390277498e+03, 3.424703197510792e+03, -1.337888941245780e-02, 4.166749864623735e+03, 7.629411405783623e+01, 2.097620834298461e+03, 3.752097552830680e+03
4326, 7.195515276101645e-01, 1.227643845231539e+00, -2.279045619038386e-02, -1.346722012989392e-09, 7.755589025594325e-10, -4.668065964427282e-09, 6.913519677746242e+03, 5.104556495060652e+03, -7.257832452682036e+02, 1.225066827531869e+04, 4.539488142240742e+03, -2.311088042474109e+03, 1.099257630496971e+04
4327, 7.378596887720057e-01, 1.235390347780171e+00, -2.274417106341525e-02, -4.864801773076254e-10, -2.362544654418718e-11, -4.390734390919480e-09, 4.946431499726159e+03, 4.903405367223902e+03, -2.087657600783930e+02, 9.296533569282292e+03, -1.365266658379048e+03, 2.946584139874041e+03, 7.133168313234817e+03
4328, 8.407340695439915e-01, 1.222858178204132e+00, -2.008470204832979e-02, -3.692100514131214e-10, 2.113310067119224e-10, -1.806346278417599e-09, 2.531305752539688e+03, 2.192724505289178e+03, -2.563116348504506e+02, 2.986602563820732e+03, -1.004968933275052e+03, 5.871074015650000e+02, 2.176498873311321e+03
4329, 7.219988610541812e-01, 1.247365617464736e+00, -2.238707368296689e-02, -7.233600391836599e-10, 2.400115555777088e-10, -3.883856389907312e-09, 5.619085824217118e+03, 4.644165359712392e+03, 8.321776867319258e+01, 8.127396595238093e+03, 4.202202537207400e+03, 2.354070999722290e+03, 8.905545532730839e+03
