"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
792, 8.769693963407498e-01, 1.391490587114222e-01, -1.877174351360308e-03, 8.512698512694152e-06, 4.911284687312811e-06, -5.453447131509244e-09, -8.295927371767663e-05, 8.570846265569548e-05, 0.000000000000000e+00
793, 3.710366547390374e-01, -4.137744522916466e-01, 2.270369953471816e-03, -1.122690878999197e-05, -5.134007159122120e-07, 9.358202828787657e-09, 3.017088419657098e-05, 1.626185926422593e-05, 0.000000000000000e+00
794, 1.594952271312632e+00, 1.638530005383852e+00, -2.629937059962109e-03, 8.665509722679422e-06, 3.210497617028685e-06, -5.821245026495778e-09, 3.761067408776253e-06, 2.147491744130201e-06, 0.000000000000000e+00
795, 5.015024085433015e-01, -4.241961661404246e-02, 1.354830716948344e-03, -8.869971592612384e-06, -3.709990074307646e-06, 8.717771354488178e-09, -3.063202343925200e-05, -8.560705295078356e-05, 0.000000000000000e+00
796, 7.944530745378703e-01, 2.972557078720621e-01, -1.650636930635900e-03, 7.161922272018384e-06, 4.889324686273413e-06, -5.244329062215154e-09, -2.619574400023662e-05, 2.389373326104557e-05, 0.000000000000000e+00
797, 1.288609319436750e+00, -2.529675108206967e-01, -9.164828601622031e-04, 3.188043297445720e-06, -3.678315881393687e-06, -1.380445609849101e-09, 1.990952452895744e-05, 2.746626762793171e-06, 0.000000000000000e+00
798, 1.092893717760693e+00, 5.642815510681803e-02, -2.322982794804378e-03, 1.050323097619426e-05, -5.280749671732238e-06, -6.253171237652543e-09, 7.810112435563245e-04, 2.672577619701910e-04, 0.000000000000000e+00
799, 9.945166100752389e-02, 1.011169624313277e-01, 1.507483335567605e-03, -4.815876606481414e-06, -2.316666039141072e-07, 1.218076587653384e-08, 5.168306654512412e-04, 1.467033031995118e-04, 0.000000000000000e+00
800, 6.262278197408709e-01, -5.701776304959373e-02, 1.386238004333684e-03, -7.803854951415271e-06, -9.469066355579326e-07, 3.585743051807455e-09, -4.063799859047165e-06, 2.131202181608759e-05, 0.000000000000000e+00
801, 6.720893454902860e-01, -1.232857057406456e-01, 1.356689718187741e-03, -6.441025211051954e-06, -2.439906521568307e-06, 5.257214703302415e-09, -1.237676650790353e-05, -1.719584286696109e-05, 0.000000000000000e+00
